nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
"Marcelo Morales: ""La educación social es válida y necesaria en nuestra sociedad""";Conferencia;Local;Educación;2025-05-28;2025-05-28;2025-05-28;2025;mayo;28;28;28 de mayo de 2025;https://educacion.uncuyo.edu.ar/marcelo-morales-la-educacion-social-es-valida-y-necesaria-en-nuestra-sociedad;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Sede Centro de la Facultad de Educación;Desconocido;Facultad de Educación.;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Educación Elemental y Especial;90.0;No;Universidad Nacional de Cuyo (UNCuyo);100.0;No
Conferencia sobre Mama Antula en la Biblioteca San Martín;Conferencia;Local;Religión;2025-05-27;2025-05-28;2025-05-28;2025;mayo;28;28;miércoles 28;https://www.mendoza.gov.ar/prensa/se-realizara-una-conferencia-sobre-mama-antula-en-la-biblioteca-san-martin/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Biblioteca San Martín, Remedios Escalada de San Martín 1843, Ciudad de Mendoza;Desconocido;Biblioteca San Martín;NO_MATCH;86.0;Sí;El equipo Silencio Fértil.;86.0;Sí
Proyecto de Ley de Financiamiento de la Educación Universitaria;Conferencia;Nacional;Educación;2025-05-28;;;;;;;28 de mayo de 2025;https://www.uncuyo.edu.ar/prensa/esta-ley-plantea-una-metodologia-que-asegure-el-financiamiento-sin-generar-deficit;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);;MENDOZA;UNCUYO;Universidad Nacional de Cuyo (UNCUYO);90.0;No;Universidad Nacional de Cuyo (UNCUYO);100.0;No
;Otro tipo de evento;NS/NC;Gobierno/Sindical;2025-05-21;;;;;;;;https://www.elsol.com.ar/mendoza/piden-investigar-la-compra-millonaria-de-alimentos-para-las-carceles-de-mendoza/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;;MENDOZA;Mendoza;Universidad de Mendoza (UM);90.0;No;Diario El Sol Mendoza;86.0;Sí
Conferencia sobre Mama Antula en la Biblioteca San Martín;Conferencia;Nacional - Regional (Cuyo);Religión;2025-05-27;2025-05-28;2025-05-28;2025;mayo;28;28;miércoles 28, a las 16;https://www.mendoza.gov.ar/prensa/se-realizara-una-conferencia-sobre-mama-antula-en-la-biblioteca-san-martin/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Biblioteca San Martín, Remedios Escalada de San Martín 1843 de la Ciudad de Mendoza;Desconocido;Biblioteca San Martín;NO_MATCH;86.0;Sí;Equipo Silencio Fértil;86.0;Sí
El Equilibrista;Evento Cultural;Nacional;Entretenimiento;2025-05-21;2025-06-01;2025-06-01;2025;junio;1;1;El próximo domingo 1 de junio a las 20:00 horas;https://www.tunuyan.gov.ar/site/mauricio-dayub-celebra-en-tunuyan-la-funcion-800-de-el-equilibrista-el-mundo-es-de-quienes-se-animan-a-perder-el-equilibrio/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Tunuyán;Auditorio Municipal “Dr. Jorge Raúl Silvano”;Desconocido;Auditorio Municipal “Dr. Jorge Raúl Silvano”;NO_MATCH;86.0;Sí;Municipalidad de Tunuyán;100.0;No
"""De tus luces y sombras"": Héctor Diéguez expone sus obras en Salas de Arte Libertad";Exposición;Local;Arte y diseño;2025-05-30;2025-06-06;2025-06-25;2025;junio;6;25;6 de junio - 25 de junio;https://www.guaymallen.gob.ar/de-tus-luces-y-sombras-hector-dieguez-expone-sus-obras-en-salas-de-arte-libertad/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Salas de Arte Libertad, Libertad 466, Villa Nueva;Desconocido;Salas de Arte Libertad - Guaymallén;NO_MATCH;86.0;Sí;MUNICIPIO;90.0;No
Participación del Mgtr. José Álvaro Duarte como docente invitado en el marco de la Licenciatura en Criminalística 30 Mayo 2025;Jornada;NS/NC;Derecho;2025-05-30;2025-05-23;2025-05-23;2025;mayo;23;23;23 de mayo;https://www.uda.edu.ar/index.php/noticias-psi/1710-participacion-del-dr-jose-alvaro-duarte-como-docente-invitado-en-el-marco-de-la-lic-en-criminalistica;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad del Aconcagua;Facultad de Psicología, Universidad del Aconcagua;Desconocido;Teatro;Teatro Independencia;90.0;No;Universidad del Aconcagua;100.0;No
Mauricio Macri destacó el modelo de gestión de Luján de Cuyo como uno de los mejores del país;Conferencia;Local;Gobierno/Sindical;2025-05-15;2025-05-15;2025-05-15;2025;May;15;15;15 May 2025;https://lujandecuyo.gob.ar/2025/05/15/mauricio-macri-destaco-el-modelo-de-gestion-de-lujan-de-cuyo-como-uno-de-los-mejores-del-pais-2/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Centro de Atención Unificada (CAU);Desconocido;No hay información sobre un evento en la página proporcionada. La página parece ser una página oficial de la ciudad de Luján de Cuyo, donde se presentan información sobre la gestión y servicios ofertados por la municipalidad.;NO_MATCH;86.0;Sí;Honorable Concejo Deliberante;55.0;Sí
TODO LO QUE PUEDE UN CUERPO;Exposición;Único;Arte y diseño;2025-05-16;2025-05-16;2025-05-16;2025;mayo;16;16;16 de mayo;https://mendoza.puntoapunto.com.ar/barbara-negroni-fotografa-rosarina-inaugura-todo-lo-que-puede-un-cuerpo-en-el-hualta-winery-hotel/;Otro tipo de evento;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Hualta Hotel Mendoza, Curio Collection by Hilton https://maps.app.goo.gl/CwnJwk1n6uGPBmLr6;Desconocido;Hualta Winery Hotel;NO_MATCH;86.0;Sí;Hualta Winery Hotel.;86.0;Sí
