nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
La Fundación Argentina de Nanotecnología visitará la UNCUYO para un networking abierto;Jornada;Nacional - Regional (Cuyo);Tecnología;2025-09-16;2025-09-18;2025-09-18;2025;septiembre;18;18;18 de septiembre, de 9 a 18;https://www.uncuyo.edu.ar/prensa/la-fundacion-argentina-de-nanotecnologia-visitara-la-uncuyo-para-un-networking-abierto;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Área de Innovación del Parque TIC que tiene la UNCUYO, ubicada en Rafael Cubillos 2056, de Godoy Cruz.;Desconocido;Área de Innovación del Parque TIC;NO_MATCH;86.0;Sí;La Fundación Argentina de Nanotecnología;86.0;Sí
Jornadas Nacionales de Educación Especial;Jornada;Nacional;Educación;2025-09-25;2025-09-25;2025-09-26;2025;septiembre;25;26;jueves 25 y viernes 26 de septiembre;https://www.uncuyo.edu.ar/prensa/comenzaron-en-la-uncuyo-las-jornadas-nacionales-de-educacion-especial;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Facultad de Educación (FE) de la Universidad Nacional de Cuyo (UNCUYO), Campus de la Facultad, Centro Universitario de la Ciudad de Mendoza;Desconocido;Campus de la Facultad que se ubica en el Centro Universitario de la Ciudad de Mendoza;NO_MATCH;86.0;Sí;Universidad Nacional de Cuyo (UNCUYO);100.0;No
22° Jornadas Anuales de Investigación;Jornada;Local;Educación;2025-08-20;2025-08-26;2025-08-28;2025;agosto;26;28;26, 27 y 28 de agosto de 2025;https://www.uda.edu.ar/index.php/archivo-novedades-uda;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad del Aconcagua;Universidad del Aconcagua;MENDOZA;Teatro Mendoza;NO_MATCH;86.0;Sí;Universidad del Aconcagua;100.0;No
Jornadas Institucionales 2025: desafíos y oportunidades en tiempos de crisis;Jornada;Nacional - Regional (Cuyo);Educación;;2025-03-19;2025-03-21;2025;marzo;19;21;19, 20 y 21 de marzo;https://fad.uncuyo.edu.ar/categorias/index/la-facultad35;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Facultad de Artes y Diseño – UNCuyo;la Facultad de Artes y Diseño de la UNCUYO;Desconocido;Mesa de Entradas.;NO_MATCH;86.0;Sí;La Facultad de Artes y Diseño de la UNCUYO;95.0;No
Encuentro de las Colectividades;Encuentro;Nacional - Regional (Cuyo);Cultura;;2025-10-09;2025-10-11;2025;octubre;9;11;jueves 9, viernes 10 y sábado 11 de octubre;https://www.guaymallen.gob.ar/category/prensa/cultura/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Boulevard Dorrego;Desconocido;Guaymallén;Centro cultural Pascual Lauriente - Municipalidad de Guaymallén;90.0;No;MUNICIPIO;90.0;No
Festival Chalupas;Evento Cultural;Provincial;Arte y diseño;2025-09-05;2025-09-12;2025-09-14;2025;septiembre;12;14;del 12 al 14 de septiembre;https://www.mendovoz.com/eskpe/2025/9/5/se-vienen-tres-dias-de-circo-humor-poesia-corporal-en-el-le-parc-160881.html;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;Espacio Cultural Julio Le Parc;GUAYMALLEN;Le Parc - MendoVoz;NO_MATCH;86.0;Sí;MendoVoz;72.0;Sí
La Fundación Argentina de Nanotecnología visitará la UNCUYO para un networking abierto;Jornada;Provincial;Tecnología;2025-09-16;2025-09-18;2025-09-18;2025;septiembre;18;18;18 de septiembre;https://www.uncuyo.edu.ar/prensa/la-fundacion-argentina-de-nanotecnologia-visitara-la-uncuyo-para-un-networking-abierto;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Área de Innovación del Parque TIC, UNCUYO, Rafael Cubillos 2056, Godoy Cruz;MENDOZA;Parque TIC;NO_MATCH;86.0;Sí;La Fundación Argentina de Nanotecnología.;86.0;Sí
Escuelas de la UNCUYO: aspirantes repasaron cómo serán los exámenes de ingreso;Jornada;Nacional - Regional (Cuyo);Educación;2025-09-28;2025-10-04;2025-10-11;2025;octubre;4;11;sábado 4 de octubre y sábado 11 de octubre;https://www.uncuyo.edu.ar/prensa/escuelas-de-la-uncuyo-aspirantes-repasaron-como-seran-los-examenes-de-ingreso;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Escuelas de la UNCUYO;Desconocido;Mendoza, Argentina.;NO_MATCH;86.0;Sí;Universidad Nacional de Cuyo (UNCUYO);100.0;No
Feria Anual de Información Laboral y Educativa;Feria;Local;Educación;2025-09-26;2025-09-26;2025-09-26;2025;septiembre;26;26;Este viernes 26;https://www.godoycruz.gob.ar/mas-mil-jovenes-participaron-la-feria-laboral-educativa-espacio-arizu/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;Municipalidad de Godoy Cruz;Espacio Arizu;GODOY CRUZ;Espacio Arizu;Espacio Arizu;100.0;No;Municipalidad de Godoy Cruz;100.0;No
XXXII Jornadas Nacionales RUEDES y XXVI Jornadas Nacionales RECCEE;Jornada;Nacional - Regional (Cuyo);Educación;2025-09-25;2025-09-25;2025-09-26;2025;septiembre;25;26;jueves 25 y viernes 26 de septiembre;https://www.uncuyo.edu.ar/prensa/comenzaron-en-la-uncuyo-las-jornadas-nacionales-de-educacion-especial;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Facultad de Educación (FE) de la Universidad Nacional de Cuyo (UNCUYO), Campus de la Facultad ubicado en el Centro Universitario de la Ciudad de Mendoza;Desconocido;Campus de la Facultad que se ubica en el Centro Universitario de la Ciudad de Mendoza;NO_MATCH;86.0;Sí;Red Universitaria de Educación Especial (RUEDES);86.0;Sí
